functional_family,origin_type,actor_count,E2,E3,E4,actor_ids,actor_names
待人工分类,okinawa_local,16,0,0,16,A087;A088;A089;A090;A091;A092;A093;A094;A095;A096;A097;A098;A099;A100;A101;A104,NPO法人世界版「平和の礎」を提案する会;特定非営利活動法人沖縄平和協力センター;沖縄県教職員組合;沖縄県高等学校障害児学校教職員組合;日本労働組合総連合会沖縄県連合会（連合沖縄）;沖縄県労働組合総連合;全日本自治団体労働組合沖縄県本部;一般社団法人沖縄県女性連合会;止めよう「自衛隊配備」宮古郡民の会;宮古平和運動連絡協議会;宮古島環境クラブ;特定非営利活動法人宮古島海の環境ネットワーク;有機フッ素化合物（PFAS）汚染から市民の生命を守る連絡会;ミサイル配備から命を守るうるま市民の会;沖縄・琉球弧の声を届ける会;普天間基地爆音訴訟弁護団
待人工分类,japan_domestic,4,0,0,4,A102;A103;A105;A106,全国公害弁護団連絡会議;全国基地爆音訴訟原告団連絡会議;日本YWCA;辺野古の海を土砂で埋めるな！首都圏連絡会
待人工分类,mixed_or_network,0,0,0,0,,
待人工分类,international,0,0,0,0,,
待人工分类,us_origin,0,0,0,0,,
待人工分类,public_institution,0,0,0,0,,
待人工分类,corporate,0,0,0,0,,
其他观察节点,okinawa_local,0,0,0,0,,
其他观察节点,japan_domestic,0,0,0,0,,
其他观察节点,mixed_or_network,0,0,0,0,,
其他观察节点,international,0,0,0,0,,
其他观察节点,us_origin,0,0,0,0,,
其他观察节点,public_institution,0,0,0,0,,
其他观察节点,corporate,0,0,0,0,,
